Timestamp,How happy are you?,How many times do you journal each month?,How many days do you exercise per week?,About how many hours do you sleep per night?,Do you have any pets?,How often do you eat fruit? ,How often do you eat vegetables? ,How often do you eat meat?,Do you smoke and/or vape?,What is your relationship status?
1/4/2023 23:01:48,Average,3-5,4-5,5-6,Yes,Often,Sometimes,Daily,No,Single
1/4/2023 23:03:42,Above average,1-2,4-5,7-8,No,Daily,Often,Daily,No,Dating
1/4/2023 23:22:40,Average,0,0,7-8,No,Sometimes,Sometimes,Sometimes,Yes,Single
1/4/2023 23:44:05,Below average,0,1-3,7-8,No,Daily,Daily,Often,Yes,Single
1/4/2023 23:44:27,Average,0,1-3,5-6,Yes,Sometimes,Often,Daily,Yes,Single
1/5/2023 0:13:51,Average,0,4-5,7-8,No,Often,Sometimes,Daily,Yes,Single
1/5/2023 0:29:18,Far above average,1-2,1-3,7-8,No,Daily,Sometimes,Daily,No,It's complicated
1/5/2023 0:34:06,Above average,3-5,4-5,7-8,No,Often,Often,Often,Yes,It's complicated
1/5/2023 7:16:55,Above average,0,6-7,7-8,Yes,Sometimes,Sometimes,Often,No,Single
1/5/2023 11:29:09,Above average,3-5,4-5,5-6,Yes,Often,Often,Often,Yes,Single
1/5/2023 16:08:45,Average,0,1-3,5-6,No,Sometimes,Sometimes,Often,No,Dating
1/5/2023 16:27:15,Average,0,1-3,7-8,Yes,Often,Often,Often,No,Dating
1/5/2023 18:23:57,Average,0,1-3,7-8,No,Sometimes,Sometimes,Daily,No,Single
1/8/2023 0:29:47,Above average,0,1-3,7-8,No,Sometimes,Daily,Never,No,Single
1/8/2023 6:27:19,Average,3-5,1-3,5-6,No,Often,Daily,Never,No,Single
1/8/2023 8:26:12,Above average,6+,1-3,7-8,No,Daily,Daily,Often,No,Dating
1/8/2023 12:20:25,Above average,0,1-3,7-8,No,Often,Daily,Never,No,Single
1/8/2023 15:45:42,Above average,0,1-3,5-6,No,Often,Often,Often,No,Married
1/8/2023 16:10:25,Above average,1-2,1-3,7-8,No,Daily,Often,Daily,No,Married
1/8/2023 16:16:00,Far above average,0,4-5,7-8,Yes,Daily,Often,Often,No,Single
1/8/2023 16:17:12,Above average,0,1-3,7-8,No,Daily,Daily,Daily,No,Single
1/8/2023 16:32:41,Above average,0,4-5,5-6,No,Often,Daily,Often,No,Married
1/8/2023 16:36:27,Above average,0,1-3,7-8,Yes,Often,Daily,Daily,No,Married
1/8/2023 16:54:34,Average,0,4-5,7-8,No,Daily,Daily,Never,No,Single
1/8/2023 17:00:15,Above average,0,1-3,7-8,Yes,Sometimes,Sometimes,Daily,No,Single
1/8/2023 17:20:27,Above average,1-2,1-3,7-8,No,Sometimes,Daily,Often,No,Single
1/8/2023 18:27:38,Far above average,0,1-3,5-6,Yes,Sometimes,Often,Daily,No,Married
1/9/2023 6:07:52,Above average,3-5,1-3,7-8,No,Daily,Daily,Sometimes,No,Dating
1/9/2023 8:25:36,Above average,0,1-3,5-6,Yes,Often,Daily,Daily,No,Dating
